candidate,alpha_dynamic,alpha_graph,alpha_critical,alpha_base,selection_year,eval_year,selection_objective,selection_roc_auc,selection_average_precision,selection_brier,temporal_objective_mean,temporal_objective_std,temporal_mean_gain_vs_base,temporal_share_positive_gain,temporal_windows,selection_rank_score,eval_objective,eval_roc_auc,eval_average_precision,eval_brier
convex_blend,0.0,0.25,0.2,0.55,2023,2024,0.6726933333091906,0.7016245688216313,0.5344673336955713,0.1928749034162713,0.7024176409421722,0.0276279858683112,0.0368378076759496,1.0,3,0.7107217839244075,0.7183967822399532,0.7445265462506843,0.4949138219900852,0.1741984267382071
convex_blend,0.1,0.25,0.2,0.45,2023,2024,0.6839306771872966,0.7126404806943363,0.5545492505269194,0.1913986900469309,0.7073598045597408,0.0248471501371279,0.0417799712935181,1.0,3,0.7172910854678014,0.7168111906397779,0.7432266009852218,0.4874218923089107,0.1761027356362924
convex_blend,0.05,0.25,0.2,0.4999999999999999,2023,2024,0.6773162401426511,0.7061310782241015,0.5436919073159412,0.1920989205430025,0.704652239645974,0.0265380222806245,0.0390724063797514,1.0,3,0.7136728882560904,0.7164805397061895,0.7427476737821566,0.4894028417137059,0.1751142271731134
convex_blend,0.05,0.2,0.2,0.55,2023,2024,0.6764054234840551,0.7052409035273172,0.5411270022158163,0.1922365336217474,0.7036604840010842,0.0263853766639596,0.0380806507348615,1.0,3,0.712424136103806,0.7162073427579069,0.7424740010946907,0.4884848325540817,0.1751110555785593
convex_blend,0.05,0.15,0.2,0.5999999999999999,2023,2024,0.6754385380534034,0.704295092911984,0.5388427737835254,0.1923770323905379,0.7026078569766434,0.0262654525666146,0.0370280237104208,1.0,3,0.7110962100604827,0.7161390254154895,0.7424055829228242,0.492001805655141,0.1751103833822315
convex_blend,0.1,0.15,0.2,0.55,2023,2024,0.681721055147304,0.7104706798709247,0.5509057730375595,0.1916641648241383,0.7051307209995038,0.0249490718202311,0.0395508877332812,1.0,3,0.7144544232757193,0.7160608150567007,0.7424740010946906,0.4879820055724725,0.176087906919933
convex_blend,0.1,0.2,0.2,0.4999999999999999,2023,2024,0.6822975413678379,0.7110270390564147,0.5511799140769934,0.1915299845905118,0.7061190904519887,0.0250952489309183,0.0405392571857662,1.0,3,0.715692644189095,0.7160598903578408,0.7424740010946907,0.4876980623466279,0.1760940715789995
convex_blend,0.15,0.2,0.2,0.4499999999999999,2023,2024,0.6872881216982573,0.7159229998887282,0.5580936933528551,0.1908991879364732,0.7086699139238491,0.0244463095161649,0.0430900806576265,1.0,3,0.7190199215004139,0.7158331135816675,0.7424055829228243,0.4877081308367386,0.1771497956077124
convex_blend,0.2,0.2,0.2,0.4000000000000001,2023,2024,0.6926011546833908,0.7211527762323355,0.5636190543010002,0.1903441436596318,0.7108013678476995,0.0226319306704021,0.045221534581477,1.0,3,0.7218993622956754,0.7158006851168525,0.7425424192665572,0.4837030662948728,0.178278227664698
convex_blend,0.15,0.15,0.2,0.4999999999999999,2023,2024,0.6860449522354095,0.7146990096806498,0.5566850214996968,0.1910270496349357,0.7076868684558892,0.0244673947904206,0.0421070351896667,1.0,3,0.7177649861597518,0.7157664439780719,0.7423371647509579,0.4883854453395391,0.1771381384859071
convex_blend,0.15,0.25,0.2,0.3999999999999999,2023,2024,0.688085770959206,0.7167019027484144,0.5599093801243603,0.1907742119280563,0.7095495653369118,0.0244581885988888,0.0439697320706892,1.0,3,0.7201347260069978,0.7154888992443305,0.7420634920634921,0.4870505017881493,0.177163952127744
convex_blend,0.2,0.25,0.2,0.35,2023,2024,0.6929527688156729,0.7214865917436297,0.5660303408700786,0.1902254861863789,0.7115301519443036,0.0227998023647713,0.045950318678081,1.0,3,0.722807302397414,0.7154556469101047,0.7422003284072249,0.4839091098140422,0.1782978766474683
convex_blend,0.2,0.15,0.2,0.45,2023,2024,0.6919152921863079,0.7204851452097474,0.5632051806695176,0.1904656868229303,0.710181079633339,0.0226537270424234,0.0446012463671164,1.0,3,0.7211089769954618,0.7149138213202703,0.7416529830322933,0.4841854075660909,0.1782610780801539
convex_blend,0.25,0.2,0.2,0.35,2023,2024,0.6962337472554745,0.7247134750194726,0.5720767692986111,0.1898648517599875,0.7120597117516715,0.0218152870920786,0.0464798784854491,1.0,3,0.7235939426417815,0.714252150666735,0.7411740558292284,0.4846324180801036,0.1794793677499561
convex_blend,0.25,0.25,0.2,0.3,2023,2024,0.6973633164671681,0.7258261933904528,0.574205774574305,0.1897525128218987,0.7130910015600564,0.0217092085224778,0.0475111682938339,1.0,3,0.7249120110006725,0.7138378704187098,0.7407635467980296,0.4835291235644942,0.1795045091954652
convex_blend,0.35,0.1,0.2,0.3499999999999999,2023,2024,0.70254346001227,0.7309446978969623,0.5804968522019044,0.1893415858979488,0.7132449706778389,0.0201028813392002,0.0476651374116163,1.0,3,0.7253044548997992,0.7130477851481314,0.7403530377668308,0.4827368585717352,0.1820350174579963
convex_blend,0.4,0.1,0.2,0.3,2023,2024,0.706143859575164,0.7345053966840992,0.5879851574054795,0.1890769140595678,0.7132674715323643,0.0199573450395442,0.0476876382661417,1.0,3,0.7254133211371931,0.7130417977770409,0.7405582922824302,0.4803202848701244,0.1834432967025949
convex_blend,0.3,0.2,0.2,0.2999999999999999,2023,2024,0.6997437051338804,0.7281629019695115,0.5763845542165762,0.1894613122375404,0.7135195248427397,0.0209755286547589,0.0479396915765171,1.0,3,0.725539293669424,0.7130348008717085,0.7401477832512315,0.4826536091332216,0.180753215863487
convex_blend,0.35,0.15,0.2,0.2999999999999999,2023,2024,0.703338183859134,0.7317236007566486,0.5817843668435245,0.1892361126500967,0.7139127437725962,0.0202790937115466,0.0483329105063735,1.0,3,0.7261444930028423,0.7129746978400847,0.7402846195949643,0.4814977053006949,0.1820661450325302
